S.No,Date,Open,High,Low,Close,Volume
1,28-06-2021,629.64,631.57,624.95,628.96,120.93
2,29-06-2021,625.09,627.46,615.57,619.1,122.25
3,30-06-2021,617.36,619.77,609.13,610.2,142.76
4,01-07-2021,613.15,616.49,609.38,610.15,105.17
5,02-07-2021,611.5,620.31,611.5,619.24,109.99
6,05-07-2021,621.66,627.22,620.16,626.59,73.59
7,06-07-2021,624.03,633.51,624.03,628.96,92.1
8,07-07-2021,629.54,633.27,624.71,632.54,77.42
9,08-07-2021,629.16,632.54,617.16,620.84,107.83
10,09-07-2021,618.52,620.11,613.0,617.6,70.7
11,12-07-2021,624.8,628.91,621.32,625.04,69.93
12,13-07-2021,633.65,644.49,631.57,643.13,198.25
13,14-07-2021,640.28,646.08,636.6,642.55,116.49
14,15-07-2021,643.28,647.63,639.41,645.55,82.44
15,16-07-2021,645.55,645.84,636.12,638.63,92.13
16,19-07-2021,624.46,635.35,624.37,634.38,91.22
17,20-07-2021,627.37,629.88,618.13,620.84,131.69
18,22-07-2021,631.09,638.63,627.03,634.43,131.24
19,23-07-2021,634.43,655.61,629.4,654.45,192.98
20,26-07-2021,657.69,665.18,641.83,654.54,310.55
21,27-07-2021,657.83,663.1,651.21,655.22,125.99
22,28-07-2021,655.66,664.46,648.06,662.57,183.67
23,29-07-2021,671.74,671.74,662.62,666.89,110.43
24,30-07-2021,666.4,667.03,657.67,662.04,145.36
25,02-08-2021,663.54,667.42,657.38,660.97,93.48
26,03-08-2021,662.52,671.16,656.36,669.7,101.63
27,04-08-2021,673.19,695.89,672.42,693.22,287.31
28,05-08-2021,694.05,695.02,678.09,681.39,177.75
29,06-08-2021,683.91,684.83,674.84,676.73,147.02
30,09-08-2021,676.49,685.12,673.53,681.78,86.03
31,10-08-2021,682.99,687.06,676.39,679.89,108.44
32,11-08-2021,685.08,685.95,669.31,672.76,97.48
33,12-08-2021,672.71,681.88,672.51,680.32,88.4
34,13-08-2021,685.85,688.62,679.98,683.67,127.88
35,16-08-2021,681.34,686.19,677.7,681.58,79.21
36,17-08-2021,678.82,681.83,670.77,680.18,86.7
37,18-08-2021,679.84,679.84,663.11,667.66,110.69
38,20-08-2021,663.35,663.88,655.1,660.29,131.22
39,23-08-2021,669.27,669.27,653.65,662.23,109.17
40,24-08-2021,662.77,676.35,660.0,673.63,98.21
41,25-08-2021,678.97,679.45,666.55,670.33,95.35
42,26-08-2021,671.3,680.52,669.31,677.85,107.57
43,27-08-2021,675.23,679.45,668.39,678.77,91.36
44,30-08-2021,683.38,693.56,679.89,692.25,107.98
45,31-08-2021,692.59,698.32,688.08,697.49,197.6
46,01-09-2021,705.79,712.77,695.7,698.32,137.29
47,02-09-2021,700.65,706.22,695.99,703.41,86.28
48,03-09-2021,703.02,709.86,699.48,702.59,89.94
49,06-09-2021,703.65,706.17,698.41,699.53,53.3
50,07-09-2021,699.29,700.79,690.31,695.41,62.43
51,08-09-2021,695.02,701.08,693.56,699.34,71.18
52,09-09-2021,699.19,702.2,696.09,698.66,62.43
53,13-09-2021,696.38,696.38,684.06,686.19,69.68
54,14-09-2021,691.87,692.59,685.32,686.24,52.42
55,15-09-2021,685.9,694.53,685.12,692.93,59.37
56,16-09-2021,698.41,707.53,691.48,705.4,135.57
57,17-09-2021,710.93,712.38,692.59,698.56,170.75
58,20-09-2021,688.71,698.8,685.32,688.71,79.43
59,21-09-2021,689.83,693.08,673.58,690.51,100.1
60,22-09-2021,693.56,693.56,681.2,682.26,97.4
61,23-09-2021,689.68,698.41,685.95,695.5,104.12
62,24-09-2021,700.94,702.88,695.07,701.28,117.81
63,27-09-2021,702.78,709.81,700.65,708.11,77.12
64,28-09-2021,712.09,713.35,685.42,695.65,134.92
65,29-09-2021,686.14,690.61,680.27,688.23,114.53
66,30-09-2021,688.33,692.5,677.85,679.84,184.88
67,01-10-2021,672.22,674.02,667.28,671.59,109.36
68,04-10-2021,676.15,682.26,673.24,679.21,89.77
69,05-10-2021,672.22,678.04,671.11,676.2,74.97
70,06-10-2021,675.72,683.86,667.71,668.83,132.01
71,07-10-2021,676.64,683.82,672.66,681.15,100.42
72,08-10-2021,684.83,688.71,677.36,682.31,93.84
73,11-10-2021,680.95,697.83,679.3,691.91,93.38
74,12-10-2021,685.32,691.62,683.28,687.36,73.76
75,13-10-2021,692.45,694.44,686.73,688.67,63.58
76,14-10-2021,688.96,707.92,687.79,705.5,89.5
77,18-10-2021,716.84,726.45,710.1,723.1,153.46
78,19-10-2021,732.36,732.36,716.6,725.04,113.5
79,20-10-2021,724.36,734.74,719.66,723.49,127.63
80,21-10-2021,726.45,737.07,715.29,732.85,121.67
81,22-10-2021,735.76,742.89,730.76,736.54,132.49
82,25-10-2021,776.02,841.01,774.46,816.47,961.24
83,26-10-2021,803.86,816.47,797.7,804.53,169.25
84,27-10-2021,803.9,823.55,799.49,809.97,228.98
85,28-10-2021,805.21,807.01,772.38,774.75,187.5
86,29-10-2021,774.08,784.5,760.4,778.0,157.01
87,01-11-2021,783.48,785.42,769.23,779.8,114.06
88,02-11-2021,784.75,785.72,774.08,776.94,94.52
89,03-11-2021,781.84,781.84,757.05,762.39,118.39
90,04-11-2021,764.86,765.35,755.65,758.65,31.49
91,08-11-2021,769.23,769.23,749.97,756.76,139.68
92,09-11-2021,760.5,764.96,755.84,762.97,100.84
93,10-11-2021,759.09,760.79,749.92,757.49,95.07
